timestamp,ax,ay,az,roll,pitch,wx,wy,wz,mx,my,mz
1605537057.96007180,1.01101400,0.04172400,0.01586000,2.43362239,-87.64945323,-0.11156250,0.62620250,0.02182250,-0.41873721,-1.61984800,0.45469161
1605537058.02289271,1.01199000,0.04184600,0.01134600,2.52806555,-87.63650566,-0.04156250,0.90620250,0.23182250,-0.41873721,-1.61984800,0.45469161
1605537058.08576345,1.01150200,0.04196800,0.01159000,2.43858354,-87.71992569,-0.39156250,1.08120250,0.12682250,-0.41976030,-1.62291728,0.44738381
1605537058.14828300,1.01223400,0.04221200,0.01220000,2.59640622,-87.59696786,-0.28656250,0.80120250,0.19682250,-0.41362175,-1.62803274,0.45220696
1605537058.21107221,1.01199000,0.04172400,0.01073600,2.56560209,-87.65113639,-0.07656250,0.55620250,0.02182250,-0.41362175,-1.62803274,0.45220696
1605537058.27385163,1.01113600,0.04135800,0.01342000,2.28322572,-87.67825790,0.06343750,0.24120250,-0.22317750,-0.41332944,-1.61999415,0.44826074
1605537058.33672833,1.01321000,0.04270000,0.01000400,2.43380365,-87.77072843,-0.11156250,0.10120250,-0.57317750,-0.41332944,-1.61999415,0.44826074
1605537058.39931750,1.01052600,0.04331000,0.01561600,2.28726837,-87.67382108,-0.35656250,1.15120250,-0.01317750,-0.42575270,-1.62496346,0.44796843
1605537058.46198869,1.01272200,0.04318800,0.00780800,2.39999391,-87.84075129,0.09843750,-0.87879750,-0.18817750,-0.41844490,-1.61955569,0.45308389
1605537058.52481651,1.01186800,0.04111400,0.00695400,2.71223773,-87.52414711,-0.39156250,1.43120250,0.30182250,-0.41844490,-1.61955569,0.45308389
1605537058.58756185,1.01162400,0.04074800,0.02110600,2.28464567,-87.57495146,-0.39156250,0.69620250,0.02182250,-0.42297574,-1.61794797,0.44606840
1605537058.65032053,1.01333200,0.04331000,0.00207400,2.48115422,-87.73354265,-0.56656250,0.41620250,0.30182250,-0.42326805,-1.62116340,0.44606840
1605537058.71305513,1.00967200,0.04209000,0.02635200,2.42015309,-87.39647798,-0.39156250,1.46620250,-0.04817750,-0.42326805,-1.62116340,0.44606840
1605537058.77566075,1.01308800,0.04221200,0.00061000,2.41977143,-87.80246960,-0.53156250,0.03120250,0.09182250,-0.41712949,-1.61838644,0.44577609
1605537058.83836627,1.00869600,0.04148000,0.01866600,2.38827942,-87.63023296,0.06343750,0.13620250,-0.43317750,-0.42619117,-1.62861736,0.44738381
1605537058.90108585,1.01345400,0.04087000,0.00951600,2.34394094,-87.84029501,0.30843750,-1.40379750,-0.32817750,-0.42619117,-1.62861736,0.44738381
1605537058.96371746,1.01125800,0.04392000,0.00829600,2.52003945,-87.68203066,-0.11156250,-0.38879750,-0.29317750,-0.41654487,-1.62350190,0.45030693
1605537059.02634215,1.01296600,0.04355400,0.00744200,2.49847257,-87.71184728,0.13343750,-0.59879750,-0.36317750,-0.41654487,-1.62350190,0.45030693
1605537059.08904696,1.01223400,0.04160200,0.00329400,2.21339878,-88.02471781,0.09843750,-0.66879750,-0.08317750,-0.41464484,-1.62554809,0.44709149
1605537059.15171576,1.01162400,0.04209000,0.00963800,2.28670513,-87.89372051,-0.35656250,2.44620250,0.33682250,-0.42268343,-1.62320959,0.45264543
1605537059.21457291,1.01199000,0.04294400,0.00475800,2.53479415,-87.69678641,0.02843750,-0.84379750,-0.25817750,-0.42268343,-1.62320959,0.45264543
1605537059.27722812,1.01430800,0.03965000,0.00219600,2.17674220,-87.86803948,0.02843750,2.30620250,0.05682250,-0.41932184,-1.62174803,0.45469161
1605537059.33992457,1.01016000,0.04160200,0.02562000,2.37144464,-87.47581022,-0.25156250,-0.28379750,0.02182250,-0.41610640,-1.62116340,0.45279158
1605537059.40262032,1.01516200,0.04160200,-0.00988200,2.07853156,-88.16452381,0.30843750,0.38120250,-0.01317750,-0.41610640,-1.62116340,0.45279158
1605537059.46529198,1.00808600,0.04355400,0.03660000,2.41495231,-87.39291916,-0.25156250,0.41620250,0.02182250,-0.42370652,-1.62467115,0.44855305
1605537059.52805996,1.01430800,0.04306600,-0.00451400,2.37557515,-87.81563316,0.23843750,-2.31379750,0.02182250,-0.41479100,-1.62204034,0.45366852
1605537059.59083652,1.01186800,0.04111400,0.00841800,2.38787475,-87.67001159,0.23843750,2.02620250,-0.11817750,-0.41479100,-1.62204034,0.45366852
1605537059.65352917,1.01418600,0.04331000,0.00988200,2.52730945,-87.71840968,0.51843750,-1.75379750,-0.04817750,-0.42180649,-1.62394037,0.45220696
1605537059.71622944,1.01748000,0.04587200,-0.01439600,2.31326080,-87.78368828,2.47843750,3.32120250,0.51182250,-0.42180649,-1.62394037,0.45220696
1605537059.77885771,1.01077000,0.05526600,0.03684400,3.16120852,-86.38630772,2.61843750,2.23620250,0.12682250,-0.42282958,-1.62247881,0.44387606
1605537059.84154654,1.00540200,0.04831200,0.01500600,2.78490309,-87.43929960,-1.68656250,-3.18879750,0.05682250,-0.41771412,-1.62057878,0.45045308
1605537059.90461469,1.01870000,0.03928400,-0.00768600,2.24226298,-88.00273360,1.77843750,-3.25879750,-0.18817750,-0.41771412,-1.62057878,0.45045308
1605537059.96737885,1.01077000,0.06661200,-0.03379400,3.80328488,-86.20689287,-0.88156250,0.55620250,1.35182250,-0.42604502,-1.62715580,0.45381467
1605537060.03000712,1.02272600,-0.00219600,0.07198000,-0.08885301,-86.18445703,-4.31156250,4.19620250,2.89182250,-0.41961415,-1.62481730,0.45396083
1605537060.09279013,1.01540600,0.07210200,0.01049200,4.07834777,-86.12504557,-3.99656250,-5.81379750,12.58682250,-0.41961415,-1.62481730,0.45396083
